"","Period","Subject","MyPartner","Agent","Theta","Applet","Inv","Disclose","ProbType","ProbBarrel","Outcome","Retain","myRetention","Session","tmt","SPSubj","SPPart","Treatment"
"1",1,1,23,1,0,0,NA,1,0,0,NA,NA,0,"3","Decision","3-1-1","3-1-23",0
"2",1,2,18,1,0,0,NA,1,0,0,NA,NA,0,"3","Decision","3-1-2","3-1-18",0
"3",1,3,15,1,0,0,NA,1,0,0,NA,NA,0,"3","Decision","3-1-3","3-1-15",0
"4",1,4,21,1,0,0,NA,0,0,0,NA,NA,1,"3","Decision","3-1-4","3-1-21",0
"5",1,5,26,1,1,1,NA,0,0,0,NA,NA,1,"3","Decision","3-1-5","3-1-26",0
"6",1,6,17,1,1,0,NA,1,0,0,NA,NA,0,"3","Decision","3-1-6","3-1-17",0
"7",1,7,25,1,1,1,NA,1,0,0,NA,NA,1,"3","Decision","3-1-7","3-1-25",0
"8",1,8,19,1,0,0,NA,1,0,0,NA,NA,0,"3","Decision","3-1-8","3-1-19",0
"9",1,9,16,1,1,1,NA,1,0,0,NA,NA,1,"3","Decision","3-1-9","3-1-16",0
"10",1,10,20,1,1,0,NA,1,0,0,NA,NA,0,"3","Decision","3-1-10","3-1-20",0
"11",1,11,24,1,0,0,NA,0,0,0,NA,NA,1,"3","Decision","3-1-11","3-1-24",0
"12",1,12,22,1,0,0,NA,0,0,0,NA,NA,0,"3","Decision","3-1-12","3-1-22",0
"13",1,13,14,1,0,0,NA,0,0,0,NA,NA,0,"3","Decision","3-1-13","3-1-14",0
"14",1,14,13,0,NA,NA,1,NA,0.4,0.4,2,0,0,"3","Decision","3-1-14","3-1-13",0
"15",1,15,3,0,NA,NA,0,NA,0.2,0.3,2,0,0,"3","Decision","3-1-15","3-1-3",0
"16",1,16,9,0,NA,NA,1,NA,0.8,0.2,1,1,0,"3","Decision","3-1-16","3-1-9",0
"17",1,17,6,0,NA,NA,1,NA,0.8,0.2,1,0,0,"3","Decision","3-1-17","3-1-6",0
