Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,Disclose,ProbType,ProbBarrel,Outcome,Retain,myRetention,Session
P1-s1,P1-s22,1,1,22,1,1,1,0,2,0,0,0,0,1,5
P1-s2,P1-s16,1,2,16,1,0,0,0,2,0,0,0,0,1,5
P1-s3,P1-s24,1,3,24,1,1,1,0,2,0,0,0,0,0,5
P1-s4,P1-s14,1,4,14,1,1,1,0,1,0,0,0,0,1,5
P1-s5,P1-s18,1,5,18,1,1,1,0,2,0,0,0,0,1,5
P1-s6,P1-s13,1,6,13,1,1,0,0,2,0,0,0,0,0,5
P1-s7,P1-s23,1,7,23,1,0,0,0,1,0,0,0,0,0,5
P1-s8,P1-s17,1,8,17,1,1,1,0,2,0,0,0,0,1,5
P1-s9,P1-s21,1,9,21,1,0,0,0,2,0,0,0,0,0,5
P1-s10,P1-s20,1,10,20,1,1,1,0,2,0,0,0,0,1,5
P1-s11,P1-s15,1,11,15,1,1,0,0,1,0,0,0,0,1,5
P1-s12,P1-s19,1,12,19,1,1,0,0,2,0,0,0,0,1,5
P1-s13,P1-s6,1,13,6,0,1,1,2,0,0.8,0.2,1,0,0,5
P1-s14,P1-s4,1,14,4,0,1,1,2,0,0.4,0.4,1,1,0,5
P1-s15,P1-s11,1,15,11,0,1,1,2,0,0.4,0.4,2,1,0,5
P1-s16,P1-s2,1,16,2,0,1,0,1,0,0.2,0.3,3,1,0,5
P1-s17,P1-s8,1,17,8,0,1,1,1,0,0.2,0.3,1,1,0,5
P1-s18,P1-s5,1,18,5,0,1,0,2,0,0.8,0.2,1,1,0,5
P1-s19,P1-s12,1,19,12,0,0,0,2,0,0.8,0.2,2,1,0,5
P1-s20,P1-s10,1,20,10,0,0,0,2,0,0.8,0.2,1,1,0,5
P1-s21,P1-s9,1,21,9,0,0,0,2,0,0.8,0.2,2,0,0,5
P1-s22,P1-s1,1,22,1,0,1,1,2,0,0.8,0.2,1,1,0,5
P1-s23,P1-s7,1,23,7,0,0,0,2,0,0.4,0.4,2,0,0,5
P1-s24,P1-s3,1,24,3,0,0,0,1,0,0.2,0.3,2,0,0,5
P2-s1,P2-s20,2,1,20,0,0,0,2,0,0.4,0.4,3,0,0,5
P2-s2,P2-s15,2,2,15,0,0,0,2,0,0.8,0.2,1,1,0,5
P2-s3,P2-s14,2,3,14,0,1,0,2,0,0.8,0.2,1,1,0,5
P2-s4,P2-s18,2,4,18,0,1,1,1,0,0.1,0.2,1,0,0,5
P2-s5,P2-s16,2,5,16,0,1,1,2,0,0.8,0.2,1,1,0,5
P2-s6,P2-s24,2,6,24,0,1,1,1,0,0.2,0.3,1,0,0,5
P2-s7,P2-s13,2,7,13,0,1,1,2,0,0.4,0.4,1,0,0,5
P2-s8,P2-s22,2,8,22,0,0,0,1,0,0.1,0.2,2,1,0,5
P2-s9,P2-s17,2,9,17,0,0,0,2,0,0.4,0.4,2,0,0,5
P2-s10,P2-s23,2,10,23,0,1,1,2,0,0.8,0.2,1,1,0,5
P2-s11,P2-s19,2,11,19,0,0,0,1,0,0.1,0.2,1,0,0,5
P2-s12,P2-s21,2,12,21,0,0,0,1,0,0.2,0.3,3,1,0,5
P2-s13,P2-s7,2,13,7,1,1,0,0,1,0,0,0,0,0,5
P2-s14,P2-s3,2,14,3,1,1,1,0,2,0,0,0,0,1,5
P2-s15,P2-s2,2,15,2,1,1,1,0,2,0,0,0,0,1,5
P2-s16,P2-s5,2,16,5,1,1,1,0,2,0,0,0,0,1,5
P2-s17,P2-s9,2,17,9,1,0,0,0,1,0,0,0,0,0,5
P2-s18,P2-s4,2,18,4,1,0,0,0,1,0,0,0,0,0,5
P2-s19,P2-s11,2,19,11,1,0,0,0,1,0,0,0,0,0,5
P2-s20,P2-s1,2,20,1,1,1,0,0,1,0,0,0,0,0,5
P2-s21,P2-s12,2,21,12,1,1,1,0,2,0,0,0,0,1,5
P2-s22,P2-s8,2,22,8,1,1,1,0,1,0,0,0,0,1,5
P2-s23,P2-s10,2,23,10,1,1,1,0,2,0,0,0,0,1,5
P2-s24,P2-s6,2,24,6,1,1,0,0,2,0,0,0,0,0,5
P3-s1,P3-s14,3,1,14,1,0,0,0,1,0,0,0,0,0,5
P3-s2,P3-s20,3,2,20,1,0,0,0,1,0,0,0,0,0,5
P3-s3,P3-s22,3,3,22,1,0,0,0,1,0,0,0,0,0,5
P3-s4,P3-s19,3,4,19,1,0,0,0,1,0,0,0,0,0,5
P3-s5,P3-s18,3,5,18,1,0,0,0,1,0,0,0,0,0,5
P3-s6,P3-s17,3,6,17,1,0,0,0,1,0,0,0,0,0,5
P3-s7,P3-s16,3,7,16,1,1,1,0,2,0,0,0,0,1,5
P3-s8,P3-s15,3,8,15,1,0,0,0,1,0,0,0,0,0,5
P3-s9,P3-s13,3,9,13,1,1,0,0,1,0,0,0,0,0,5
P3-s10,P3-s24,3,10,24,1,0,0,0,1,0,0,0,0,0,5
P3-s11,P3-s21,3,11,21,1,1,1,0,2,0,0,0,0,1,5
P3-s12,P3-s23,3,12,23,1,1,0,0,1,0,0,0,0,0,5
P3-s13,P3-s9,3,13,9,0,0,0,2,0,0.4,0.4,3,0,0,5
P3-s14,P3-s1,3,14,1,0,1,0,2,0,0.4,0.4,2,0,0,5
