Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention,Session,TMT
P1-s1,P1-s15,1,1,15,1,0,0,0,2,1,1,0,1,0,0,0,0,0,7,Computer
P1-s2,P1-s21,1,2,21,1,0,0,0,2,2,2,0,1,0,0,0,0,1,7,Computer
P1-s3,P1-s13,1,3,13,1,0,0,0,1,1,2,1,0,0,0,0,0,1,7,Computer
P1-s4,P1-s20,1,4,20,1,1,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P1-s5,P1-s12,1,5,12,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P1-s6,P1-s19,1,6,19,1,1,1,0,2,1,1,1,1,0,0,0,0,1,7,Computer
P1-s7,P1-s16,1,7,16,1,1,1,0,1,2,1,1,1,0,0,0,0,0,7,Computer
P1-s8,P1-s18,1,8,18,1,0,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P1-s9,P1-s22,1,9,22,1,1,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P1-s10,P1-s14,1,10,14,1,0,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P1-s11,P1-s17,1,11,17,1,0,0,0,1,2,1,1,1,0,0,0,0,1,7,Computer
P1-s12,P1-s5,1,12,5,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P1-s13,P1-s3,1,13,3,0,0,1,1,0,2,1,0,0,0.1,0.2,2,1,0,7,Computer
P1-s14,P1-s10,1,14,10,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P1-s15,P1-s1,1,15,1,0,1,0,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P1-s16,P1-s7,1,16,7,0,1,1,1,0,1,2,1,1,0.2,0.3,3,0,0,7,Computer
P1-s17,P1-s11,1,17,11,0,1,1,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P1-s18,P1-s8,1,18,8,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P1-s19,P1-s6,1,19,6,0,1,1,2,0,1,1,1,1,0.4,0.4,1,1,0,7,Computer
P1-s20,P1-s4,1,20,4,0,0,0,2,0,2,2,0,1,0.8,0.2,1,0,0,7,Computer
P1-s21,P1-s2,1,21,2,0,1,0,2,0,2,2,0,0,0.8,0.2,2,1,0,7,Computer
P1-s22,P1-s9,1,22,9,0,1,0,1,0,1,2,0,1,0.2,0.3,3,1,0,7,Computer
P2-s1,P2-s15,2,1,15,0,1,1,2,0,2,1,1,1,0.4,0.4,2,0,0,7,Computer
P2-s2,P2-s16,2,2,16,0,1,1,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P2-s3,P2-s20,2,3,20,0,0,0,1,0,1,2,0,1,0.2,0.3,1,0,0,7,Computer
P2-s4,P2-s14,2,4,14,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P2-s5,P2-s21,2,5,21,0,1,0,1,0,2,1,0,1,0.1,0.2,3,0,0,7,Computer
P2-s6,P2-s17,2,6,17,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P2-s7,P2-s22,2,7,22,0,1,1,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P2-s8,P2-s18,2,8,18,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P2-s9,P2-s19,2,9,19,0,1,0,1,0,1,2,0,0,0.2,0.3,2,0,0,7,Computer
P2-s10,P2-s12,2,10,12,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0,7,Computer
P2-s11,P2-s13,2,11,13,0,0,0,2,0,1,2,1,1,0.8,0.2,2,0,0,7,Computer
P2-s12,P2-s10,2,12,10,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P2-s13,P2-s11,2,13,11,1,1,1,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P2-s14,P2-s4,2,14,4,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P2-s15,P2-s1,2,15,1,1,1,1,0,2,1,2,1,1,0,0,0,0,0,7,Computer
P2-s16,P2-s2,2,16,2,1,0,0,0,2,1,1,1,1,0,0,0,0,0,7,Computer
P2-s17,P2-s6,2,17,6,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P2-s18,P2-s8,2,18,8,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P2-s19,P2-s9,2,19,9,1,0,0,0,1,2,1,0,1,0,0,0,0,0,7,Computer
P2-s20,P2-s3,2,20,3,1,1,0,0,1,2,1,0,0,0,0,0,0,0,7,Computer
P2-s21,P2-s5,2,21,5,1,1,0,0,1,1,2,0,1,0,0,0,0,0,7,Computer
P2-s22,P2-s7,2,22,7,1,1,0,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P3-s1,P3-s13,3,1,13,1,0,1,0,1,2,1,1,0,0,0,0,0,0,7,Computer
P3-s2,P3-s12,3,2,12,1,0,0,0,1,2,2,0,0,0,0,0,0,1,7,Computer
P3-s3,P3-s20,3,3,20,1,1,1,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P3-s4,P3-s15,3,4,15,1,0,0,0,1,2,2,0,1,0,0,0,0,0,7,Computer
P3-s5,P3-s19,3,5,19,1,0,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P3-s6,P3-s21,3,6,21,1,1,1,0,1,2,2,0,1,0,0,0,0,0,7,Computer
P3-s7,P3-s16,3,7,16,1,0,0,0,1,2,2,0,0,0,0,0,0,0,7,Computer
P3-s8,P3-s14,3,8,14,1,1,1,0,2,1,1,1,1,0,0,0,0,1,7,Computer
P3-s9,P3-s18,3,9,18,1,0,0,0,2,1,2,1,1,0,0,0,0,0,7,Computer
P3-s10,P3-s17,3,10,17,1,0,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P3-s11,P3-s22,3,11,22,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P3-s12,P3-s2,3,12,2,0,0,0,1,0,2,2,0,0,0.2,0.3,3,1,0,7,Computer
P3-s13,P3-s1,3,13,1,0,0,1,1,0,1,2,1,0,0.2,0.3,2,0,0,7,Computer
P3-s14,P3-s8,3,14,8,0,1,1,2,0,1,1,1,1,0.4,0.4,2,1,0,7,Computer
P3-s15,P3-s4,3,15,4,0,1,0,1,0,2,2,0,0,0.2,0.3,2,0,0,7,Computer
P3-s16,P3-s7,3,16,7,0,0,0,1,0,2,2,0,0,0.2,0.3,2,0,0,7,Computer
P3-s17,P3-s10,3,17,10,0,1,0,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P3-s18,P3-s9,3,18,9,0,1,1,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P3-s19,P3-s5,3,19,5,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P3-s20,P3-s3,3,20,3,0,0,0,2,0,2,1,1,1,0.4,0.4,2,1,0,7,Computer
P3-s21,P3-s6,3,21,6,0,1,0,1,0,2,2,1,1,0.2,0.3,3,0,0,7,Computer
P3-s22,P3-s11,3,22,11,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P4-s1,P4-s18,4,1,18,0,0,0,2,0,1,1,0,1,0.4,0.4,3,1,0,7,Computer
P4-s2,P4-s13,4,2,13,0,0,0,1,0,2,2,0,0,0.2,0.3,3,1,0,7,Computer
P4-s3,P4-s16,4,3,16,0,1,1,2,0,2,1,1,0,0.4,0.4,1,1,0,7,Computer
P4-s4,P4-s22,4,4,22,0,1,1,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s5,P4-s12,4,5,12,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P4-s6,P4-s14,4,6,14,0,0,1,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s7,P4-s20,4,7,20,0,0,0,2,0,2,2,0,0,0.8,0.2,1,1,0,7,Computer
P4-s8,P4-s21,4,8,21,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s9,P4-s15,4,9,15,0,1,0,2,0,1,2,1,1,0.8,0.2,2,1,0,7,Computer
P4-s10,P4-s17,4,10,17,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P4-s11,P4-s19,4,11,19,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P4-s12,P4-s5,4,12,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P4-s13,P4-s2,4,13,2,1,0,0,0,1,2,2,0,0,0,0,0,0,1,7,Computer
P4-s14,P4-s6,4,14,6,1,1,1,0,2,2,1,1,0,0,0,0,0,1,7,Computer
P4-s15,P4-s9,4,15,9,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P4-s16,P4-s3,4,16,3,1,0,1,0,2,1,2,1,1,0,0,0,0,1,7,Computer
P4-s17,P4-s10,4,17,10,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P4-s18,P4-s1,4,18,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P4-s19,P4-s11,4,19,11,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P4-s20,P4-s7,4,20,7,1,0,0,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P4-s21,P4-s8,4,21,8,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P4-s22,P4-s4,4,22,4,1,1,1,0,2,2,2,1,1,0,0,0,0,1,7,Computer
P5-s1,P5-s12,5,1,12,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P5-s2,P5-s13,5,2,13,1,1,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P5-s3,P5-s16,5,3,16,1,1,0,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P5-s4,P5-s19,5,4,19,1,0,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P5-s5,P5-s21,5,5,21,1,0,0,0,1,2,1,0,1,0,0,0,0,1,7,Computer
P5-s6,P5-s15,5,6,15,1,1,1,0,2,2,1,0,0,0,0,0,0,1,7,Computer
P5-s7,P5-s22,5,7,22,1,1,1,0,2,2,1,1,0,0,0,0,0,1,7,Computer
P5-s8,P5-s20,5,8,20,1,0,0,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P5-s9,P5-s17,5,9,17,1,0,0,0,1,2,1,0,0,0,0,0,0,1,7,Computer
P5-s10,P5-s14,5,10,14,1,0,0,0,2,2,2,1,1,0,0,0,0,0,7,Computer
P5-s11,P5-s18,5,11,18,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P5-s12,P5-s1,5,12,1,0,1,0,2,0,1,2,1,1,0.8,0.2,2,1,0,7,Computer
P5-s13,P5-s2,5,13,2,0,1,0,1,0,1,2,0,1,0.2,0.3,2,1,0,7,Computer
P5-s14,P5-s10,5,14,10,0,1,1,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P5-s15,P5-s6,5,15,6,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P5-s16,P5-s3,5,16,3,0,0,0,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P5-s17,P5-s9,5,17,9,0,0,0,1,0,1,2,0,0,0.2,0.3,3,1,0,7,Computer
P5-s18,P5-s11,5,18,11,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P5-s19,P5-s4,5,19,4,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P5-s20,P5-s8,5,20,8,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P5-s21,P5-s5,5,21,5,0,1,0,1,0,1,2,0,0,0.2,0.3,2,1,0,7,Computer
P5-s22,P5-s7,5,22,7,0,0,1,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
